description,part_numbers,times_billed,qty_total,sell_min,sell_max,sell_last,last_date,example
3/4 STICK OF CONDUIT,,1,1.0,39.64,39.64,39.64,2026-08-04,"3/4"" stick of conduit"
3/4 SLIP COUPLINGS,,1,2.0,10.27,10.27,10.27,2026-08-04,"3/4"" Slip Couplings"
CONCRETE AND REBAR,,1,1.0,275.0,275.0,275.0,2026-08-04,Concrete and rebar
VINAGER 45 CONDUIT CLEAR,,1,1.0,18.92,18.92,18.92,2026-08-04,Vinager 45% conduit clear
4 X 18 STEEL NIPPLE FOR RISER,,1,1.0,83.3,83.3,83.3,2026-08-04,"4"" x 18"" steel nipple for riser"
VINEGAR 1 GALLON,,1,1.0,17.97,17.97,17.97,2026-08-04,Vinegar 1 gallon
PAINT,,1,0.5,72.78,72.78,72.78,2026-08-04,Paint
2X6 BOARD,,1,1.0,28.0,28.0,28.0,2026-08-04,2x6 Board
3/4 GUP BOX,,1,2.0,103.2,103.2,103.2,2026-08-04,"3/4"" GUP Box"
2X8 BOARDS,,1,2.0,16.44,16.44,16.44,2026-08-07,2x8 Boards
SENSOR GUIDE,,1,1.0,119.98,119.98,119.98,2026-08-10,Sensor guide
FISHTAPE,,1,1.0,102.91,102.91,102.91,2026-08-10,Fishtape
1 1/2 X CLOSE BLACK FITTING,,1,6.0,3.29,3.29,3.29,2026-08-10,"1-1/2"" x Close Black Fitting"
4 X 12 BLACK STEEL FITTING,,1,1.0,52.97,52.97,52.97,2026-08-11,"4"" x 12"" Black Steel Fitting"
KLEIN FISH TAPE STUCK IN CONDUIT AND HAD TO CUT IT OFF,,1,1.0,102.9,102.9,102.9,2026-08-17,Klein Fish Tape - stuck in conduit and had to cut it off
1812 SENSOR WIRE,,1,200.0,1.1,1.1,1.1,2026-08-17,1812 Sensor Wire
1 5 NIPPLE,,1,1.0,3.98,3.98,3.98,2026-08-18,"1.5"" nipple"
18/2 SENSOR WIRE,,1,400.0,1.1,1.1,1.1,2026-08-21,18/2 Sensor Wire
4 X8 BLACK STEEL NIPPLE,,1,1.0,39.68,39.68,39.68,2026-08-31,"4""x8 Black Steel nipple"
2 X 4,,1,1.0,5.4,5.4,5.4,2026-09-02,2 x 4
2 X 6,,1,1.0,12.24,12.24,12.24,2026-09-02,2 x 6
L BRACKET,,1,2.0,14.13,14.13,14.13,2026-09-02,L Bracket
SEAL PACK,VDR-0514100-30,1,2.0,7.25,7.25,7.25,2026-09-02,Seal Pack (VDR-0514100-30)
3/4 X 3 FITTING,,1,3.0,3.94,3.94,3.94,2026-09-02,"3/4"" x 3"" Fitting"
3/4 X 12 FITTING,,1,1.0,20.7,20.7,20.7,2026-09-03,"3/4"" x 12"" Fitting"
END RUN,,1,25.0,54.41,54.41,54.41,2026-09-03,End Run
3/4 X 8 FITTING,,1,1.0,12.17,12.17,12.17,2026-09-03,"3/4"" x 8"" Fitting"
DATA WIRE,,1,120.0,0.48,0.48,0.48,2026-09-08,Data Wire
1 5 STEEL CAP,,1,1.0,5.83,5.83,5.83,2026-09-08,"1.5 "" steel cap"
3/4 X 4 NIPPLE,,1,1.0,4.1,4.1,4.1,2026-09-10,"3/4"" x 4"" Nipple"
2 BLACK STEEL PLUG,,1,1.0,6.45,6.45,6.45,2026-09-14,"2"" Black Steel Plug"
2 BLACK STEEL CAP,,1,1.0,5.39,5.39,5.39,2026-09-14,"2"" Black Steel Cap"
