group,part_number,core_part_number,alt_part_number,description,price,manufacturer,notes
MISC,889490-020-W75,,,W75 Pearl White Ovation QVGA Bezel Instructions Subassembly,1218,DFS Wayne Parts,
MISC,889490-042-0W7,,,"QVGA Contactless Bezel Assembly, 0W7 White",1173.9,DFS Wayne Parts,
MISC,889490-042-A17,,,"QVGA Contactless Bezel Assembly, A17 Silver",1213.8,DFS Wayne Parts,
MISC,889490-042-F32,,,"QVGA Contactless Bezel Assembly, F32 Black",1218,DFS Wayne Parts,
MISC,889490-042-F80,,,F80 Ovation Contactless QVGA Bezel Subassembly,1218,DFS Wayne Parts,
MISC,889495-001,,,Meter Platform Support,32.55,DFS Wayne Parts,
MISC,889559-002,,,O-Ring,9.45,DFS Wayne Parts,
MISC,889559-009,,,#10 O-Ring,2.1,DFS Wayne Parts,
MISC,889562-102-A17,,,A17 Ovation VGA Bezel Subassembly,997.5,DFS Wayne Parts,
MISC,889562-110-0W7,,,"0W7 White VGA Bezel Subassembly, Instruction",997.5,DFS Wayne Parts,
MISC,889562-114-0W7,,,0W7 VGA Contactless Bezel Assembly,997.5,DFS Wayne Parts,
MISC,889562-114-W75,,,W75 VGA Contactless Bezel Assembly,997.5,DFS Wayne Parts,
MISC,889631-001,,,Display Glass,15.75,DFS Wayne Parts,
MISC,889631-002,,,Reliance G5200 Series Display Glass,29.4,DFS Wayne Parts,
MISC,889632-001-B12,,,Reliance Blue Door Panel,117.6,DFS Wayne Parts,
MISC,889632-002,,,Reliance Series Stainless Steel Lower Door,366.45,DFS Wayne Parts,
MISC,889650-001,,,240 x 64 Graphic Display With TMP Sensor,771.75,DFS Wayne Parts,
MISC,889654-001,,,Serve Term Cable Assembly IGEM Laptop,32.55,DFS Wayne Parts,
MISC,889669-001,,,Power Inventer Cable Assembly,86.1,DFS Wayne Parts,
MISC,889684-004,,,"Casting, Pump-Meter",118.65,DFS Wayne Parts,
MISC,889691-001-R,889691-001-RC,,Rebuilt 115 Volt VR Reset,812.7,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,889691-001-RC,,,115 Volt VR Reset Core (889691-001-R),289.8,DFS Wayne Parts,
MISC,889692-001,,,Linkage Arm,8.4,DFS Wayne Parts,
MISC,889693-001,,,Single Handle Spring Bracket,30.45,DFS Wayne Parts,
MISC,889694-001,,,120/60 Robertson Ballast,60.9,DFS Wayne Parts,
MISC,889698-002,,,Machined Nozzle Hook,28.35,DFS Wayne Parts,
MISC,889699-001,,,Gasket,16.8,DFS Wayne Parts,
MISC,889745-003-007,,,"Ovation 3+1 Product Push-To-Start Dual Tier Pricing Panel Overlay, Regular/Plus/Premium",29.4,DFS Wayne Parts,
MISC,889745-003-031,,,Decal Push To Start Panel Dl Pr Vl Unleaded Unleaded Plus Unleaded Supreme,28.35,DFS Wayne Parts,
MISC,889745-003-036,,,"Decal Push To Start Panel Dl Pr SN Unleaded, Plus, Ultra 93",29.4,DFS Wayne Parts,
MISC,889745-003-058,,,Wayne Ovation Push To Start Panel Dl Pr St Regular Plus Premium,28.35,DFS Wayne Parts,
MISC,889745-007-026,,,"4 Product Dual Price Push To Start Panel Overlay, CHR : Diesel/Supreme/Plus/Regular",260.4,DFS Wayne Parts,
MISC,889745-007-032,,,Decal Push To Start Panel Dp Vl Diesel Unleaded Unleaded Plus Unleaded Supreme,29.4,DFS Wayne Parts,
MISC,889745-007-064,,,Push To Start Panel Overlay Diesel Regular Plus Premium,29.4,DFS Wayne Parts,
MISC,889745-103-022,,,"Ovation LX Dual Price Point Push-To-Start Panel Overlay, Marathon : Unleaded / Plus / Premium",29.4,DFS Wayne Parts,
MISC,889745-103-031,,,Decal Lx Push To Start Panel Dl Pr Vl Unleaded Unleaded Plus Unleaded Supreme,29.4,DFS Wayne Parts,
MISC,889745-107-045,,,Decal Lx Push To Start Dl Pr Sn Di-Re-Pl-Ul93,29.4,DFS Wayne Parts,
MISC,889745-107-064,,,Decal Lx Push To Start Panel Dl Pr Str Diesel Regular Unleaded Unleaded Plus Unleaded Supreme,28.35,DFS Wayne Parts,
MISC,889745-107-101,,,"LX 4-Product Dual Price Push To Start Panel Overlay, SU85 : E85 / Regular / Plus / UL 93",29.4,DFS Wayne Parts,
MISC,889745-107-123,,,"LX 4-Product Dual Price Push To Start Panel Overlay, SK : Diesel / Unleaded / Unleaded Plus / Unleaded Supreme",29.4,DFS Wayne Parts,
MISC,889761-003-J21,,,3-Product PTS Panel Assembly,341.25,DFS Wayne Parts,
MISC,889774-001,,,Ovation Lighted Valance Retrofit Kit,139.65,DFS Wayne Parts,
MISC,889784-001,,,Ovation Clamshell Printer Gasket Also For Dw-10/-12 Printers,29.4,DFS Wayne Parts,
MISC,889821-001,,,Conduit Valve Right,12.6,DFS Wayne Parts,
MISC,889824-001,,,Nozzle Boot Gasket,11.55,DFS Wayne Parts,
MISC,889839-001,,,Single Shaft And Lever Assembly,24.15,DFS Wayne Parts,
MISC,889840-001,,,"Shaft And Lever Assembly, Twin",17.85,DFS Wayne Parts,
MISC,889842-001-007,,,"Advertising Panel Overlay, Wayne Generic: On Road Diesel",15.75,DFS Wayne Parts,
MISC,889842-001-011,,,"Advertising Panel Overlay, Wayne Generic: Unleaded",15.75,DFS Wayne Parts,
MISC,889844-001,,,"Brace, Reliance Inlet",49.35,DFS Wayne Parts,
MISC,889845-001,,,120 Volt Skinner Solenoid Valve,556.5,DFS Wayne Parts,
MISC,889848-001,,,10:1 Pulser VR 312020-919,451.5,DFS Wayne Parts,
MISC,889851-001,,,"Spring, Linkage",4.2,DFS Wayne Parts,
MISC,889852-001,,,5 Millimeter x 30 Millimeter Roll Pin,2.1,DFS Wayne Parts,
MISC,889854-001,,,10-24 x 1/2 TORX Pan Head Tri-Lobe Screw,5.25,DFS Wayne Parts,
MISC,889858-001,,,1.31 ID Rubber Grommet,3.15,DFS Wayne Parts,
MISC,889861-001,,,"Non-Comp/Er,Vr Gal 110V Relianc",1632.75,DFS Wayne Parts,
MISC,889863-001,,,Handle Pump,26.25,DFS Wayne Parts,
MISC,889864-001,,,Handle Limiter,4.2,DFS Wayne Parts,
MISC,889866-001,,,Shoulder Screw 5/16-18X3/8,8.4,DFS Wayne Parts,
MISC,889867-001,,,"Bearing, Nylon 3/8 Inch Shaft",13.65,DFS Wayne Parts,
MISC,889884-001,,,Ovation Display Window Glass - 5-1/2 Inch X 4-1/8 Inch,161.7,DFS Wayne Parts,
MISC,889901-001,,,Inlet Offset Casting,93.45,DFS Wayne Parts,
MISC,889902-001,,,Machined Lever Casting,11.55,DFS Wayne Parts,
MISC,889903-001,,,SCR M8X1.25X85MM HHCSTZN,3.15,DFS Wayne Parts,
MISC,889914-002,,,Single 100:1 Pulser MOD,1017.45,DFS Wayne Parts,
MISC,889918-001,,,Hose Mast Kit ( 1 Per Hose ),622.65,DFS Wayne Parts,
MISC,889930-001,,,Right Side Reset Conduit,76.65,DFS Wayne Parts,
MISC,889931-001,,,Left Side Reset Conduit,76.65,DFS Wayne Parts,
MISC,889934-001,,,CPU 4-7/8 Inch PD Pulley,76.65,DFS Wayne Parts,
MISC,889935-003,,,Vr Reset Motor Switch,82.95,DFS Wayne Parts,
MISC,889935-004,,,Vr Reset Control Switch Rel,219.45,DFS Wayne Parts,
MISC,889935-103,,,Quantity VR Totalizer,513.45,DFS Wayne Parts,
MISC,889936-001,,,"Gasket, Strainer Inlet",12.6,DFS Wayne Parts,
MISC,889938-001,,,Wayne Reliance Compact Pumping Unit - Outright,1000.65,DFS Wayne Parts,
MISC,889952-003-084,,,Retrofit Ovation Push To Start Panel Assembly,518.7,DFS Wayne Parts,
MISC,889952-003-158,,,"Av, Ovation, Push To Panel, Retrofit, Fr/Gq",518.7,DFS Wayne Parts,
MISC,889952-003-202,,,Ay Ovtn Pts Pnl Rfit Vl,518.7,DFS Wayne Parts,
MISC,889952-003-210,,,Ovation Retrofit Panel Refresh Image,518.7,DFS Wayne Parts,
MISC,889952-003-302,,,"Ovation Push To Start Panel Retrofit Assembly, White On Green, Blue, And Red: Unleaded / Plus / Premium",518.7,DFS Wayne Parts,
MISC,889952-007-080,,,GetGo Retrofit Ovation Push To Start Panel Assembly,551.25,DFS Wayne Parts,
MISC,889952-007-145,,,"Av, Ovation, Push To Start Panel, Retrofit, Co",551.25,DFS Wayne Parts,
MISC,889952-007-153,,,"Ovation 3+1 Product Push To Start Panel Overlay, SN",551.25,DFS Wayne Parts,
MISC,889952-007-180,,,Valero Retrofit Ovation Push To Start Panel Assembly,551.25,DFS Wayne Parts,
MISC,889982-001,,,Ovation Tube Clamp,7.35,DFS Wayne Parts,
MISC,890051-001,,,"Lockpin,1.312 Inch Tube",14.7,DFS Wayne Parts,
MISC,890112-002,,,Pcb Assembly Pulse Output Select,457.8,DFS Wayne Parts,
MISC,890123-001,,,Lockpin Retainer 4mm,4.2,DFS Wayne Parts,
MISC,890142-001,,,Ovation (PPP) Preset Keypad Kit,1123.5,DFS Wayne Parts,
MISC,890147-001,,,Ovation Column Speaker Kit,222.6,DFS Wayne Parts,
MISC,890154-001,,,POB Pulse/Reset Cable Assembly,38.85,DFS Wayne Parts,
MISC,890207-001-001,,,"DCL, DL, WG Select Gallons",29.4,DFS Wayne Parts,
MISC,890218-001,,,Ovation Preset Keypad Assembly,193.2,DFS Wayne Parts,
MISC,890250-001,,,"Dual Filter Casting,Machined",351.75,DFS Wayne Parts,
MISC,890254-001,,,Machined UHC Outlet Casting,177.45,DFS Wayne Parts,
MISC,890316-001,,,Healy Vacuum Pump,4040.4,DFS Wayne Parts,
MISC,890467-001,,,External Filter Kit,271.95,DFS Wayne Parts,
MISC,890490-001,,,"Washer, Sealing, .330 ID, 5/8 OD, Galvanized Master Seal Washer",1.05,DFS Wayne Parts,
MISC,890510-001,,,Ovation Door Insert Retainer,2.1,DFS Wayne Parts,
MISC,890565-001,,,Vista P1 HF Antenna Board,469.35,DFS Wayne Parts,
MISC,890574-001,,,IGM1 Cond Assembly Proportional Valve,217.35,DFS Wayne Parts,
MISC,890577-001,,,IGM5 Proportional Valve And Conduit Assembly,280.35,DFS Wayne Parts,
MISC,890583-001,,,Prop Valve/Conduit Assy,280.35,DFS Wayne Parts,
MISC,890585-001,,,iGem Proportional Valve/Conduit Assembly,389.55,DFS Wayne Parts,
MISC,890627-001-J21,,,"Base Half, HS3, Black",100.8,DFS Wayne Parts,
MISC,890632-001,,,"Solenoid Valve Assembly, UHC GC/Select",850.5,DFS Wayne Parts,
MISC,890632-002,,,HS3 24 Volt Solenoid Valve/Conduit Assembly,864.15,DFS Wayne Parts,
MISC,890639-001,,,UHC PPM Switch Seal Bracket,24.15,DFS Wayne Parts,
MISC,890680-001,,,24 Inch PPM Power Cable Assembly,22.05,DFS Wayne Parts,
MISC,890680-002,,,48 Inch PPM Power Cable Assembly,22.05,DFS Wayne Parts,
MISC,890749-001-F032,,,"Ovation Bezel Totalizer Cover, F032 Grey",25.2,DFS Wayne Parts,
MISC,890766-001,,,iX Wire Harness Assembly,61.95,DFS Wayne Parts,
MISC,890770-001,,,Graffics Accelerator,324.45,DFS Wayne Parts,
MISC,890840-001,,,120 Volt E85 ASCO Solenoid Valve,556.5,DFS Wayne Parts,
MISC,890842-001,,,1-1/2 Inch 24 Volt HS3 High Flow Solenoid Valve,809.55,DFS Wayne Parts,
MISC,890857-001,,,Programmed Assembly Pulse Proc Module,396.9,DFS Wayne Parts,
MISC,890857-003,,,Programmed Assembly Pulse Proc Module Def,396.9,DFS Wayne Parts,
MISC,890878-001,,,VR10 4:1Gal 110 Volt Reset Register,2954.7,DFS Wayne Parts,
MISC,890880-001,,,10:1 Pulser (Vr769780-014),409.5,DFS Wayne Parts,
MISC,890881-001,,,100:1 Pulser (VR767181-334),682.5,DFS Wayne Parts,
MISC,890898-001,,,Vapor Recovery Hose Mast Assembly,93.45,DFS Wayne Parts,
MISC,890904-001,,,Conduit Pulser Side-1 G6200,15.75,DFS Wayne Parts,
MISC,890925-001,,,UHC iGEM/POB/PPM Power Cable Assembly,27.3,DFS Wayne Parts,
MISC,890968-001,,,PPM Pulser/Nozzle Switch Potted Harness,113.4,DFS Wayne Parts,
MISC,891004-001,,,Call Button PCB Assembly,85.05,DFS Wayne Parts,
MISC,891039-001,,,Heater/Fan Assembly With Thermostat Cirrus 80,205.8,DFS Wayne Parts,
MISC,891082-002,,,256 MB SDRAM 168 DIMM 0 To 70,245.7,DFS Wayne Parts,
MISC,891088-001,,,Call Button Adapter Cable Assembly,28.35,DFS Wayne Parts,
MISC,891090-001,,,"Pulse PPM (J6,J5) TO IGEM ISP (J1, J7) Cable Assembly",108.15,DFS Wayne Parts,
MISC,891091-001-0W7,,,"Skin, Elec Encl, Top",77.7,DFS Wayne Parts,
MISC,891092-001-0W7,,,"Skin, Elec Encl, Side",110.25,DFS Wayne Parts,
MISC,891131-002,,,Ovation Bezel Speaker Assembly,143.85,DFS Wayne Parts,
MISC,891132-001,,,Power Supply With Adapter Assembly,210,DFS Wayne Parts,
MISC,891173-005,,,Flurosilicon O-Ring 1932-75,6.3,DFS Wayne Parts,
MISC,891185-001,,,Printer Circuit Board Assembly Lite And Barcode Scanner Smc Grn,359.1,DFS Wayne Parts,
MISC,891471-001,,,1-Product GEM Display Dial Face,32.55,DFS Wayne Parts,
MISC,891477-002-016,,,"Ovation Short Valance Assembly, W007 White",884.1,DFS Wayne Parts,
MISC,891477-002-023,,,"Ovation Short Metal Valance Assembly, Meijer E85",884.1,DFS Wayne Parts,
MISC,891477-002-024,,,"Ovation Short Metal Valance Assembly, Meijer Diesel",884.1,DFS Wayne Parts,
MISC,891477-002-025,,,"Ovation Short Metal Valance Assembly, Meijer Kerosene",884.1,DFS Wayne Parts,
MISC,891477-002-051,,,Ovation G067 Green Short Metal Valance Assembly,884.1,DFS Wayne Parts,
MISC,891477-002-052,,,Ovation B012 Blue Wayne Spec Short Metal Valance Assembly,884.1,DFS Wayne Parts,
MISC,891477-002-060,,,Ovation Mobil Synergy Spec Short Metal Valance Assembly,884.1,DFS Wayne Parts,
MISC,891552-001,,,Heater/Fan And Bracket Assembly,331.8,DFS Wayne Parts,
MISC,891569-001,,,Ovation 5-PPU Card Slot PPU Control Board,168,DFS Wayne Parts,
MISC,891578-001,,,Replacement Heater/Fan Service Kit,425.25,DFS Wayne Parts,
MISC,891623-001,,,"CABLE ASSY, IX / VGA FLAT PNL 250MM",64.05,DFS Wayne Parts,
MISC,891687-R01,891687-R01C,,Ovation DW-12 Printer,1142.4,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,891687-R01C,,,Ovation DW-12 Printer Core,395.85,DFS Wayne Parts,
MISC,891691-001,,,PTS Panel Repair Kit,159.6,DFS Wayne Parts,
MISC,891814-001,,,"Lever Linkage, Ground",21,DFS Wayne Parts,
MISC,891816-001,,,GC/Select Heater Fan Assembly Kit,435.75,DFS Wayne Parts,
MISC,891965-R01,891965-R01C,,Rebuilt Ovation Sales/Volume Display With LED Backlight,654.15,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,891965-R01C,,,Ovation Sales/Volume Display With LED Backlight Core,181.65,DFS Wayne Parts,
MISC,892046-001,,,Ovation Tube,17.85,DFS Wayne Parts,
MISC,892047-001,,,Ovation Tube,22.05,DFS Wayne Parts,
MISC,892050-001,,,Ovation LED Backlight Assembly For Main Sales Display,161.7,DFS Wayne Parts,
MISC,892051-001,,,Ovation Single Sided Card Reader,198.45,DFS Wayne Parts,
MISC,892057-001,,,Lower Cross Bar Angle Bracket,46.2,DFS Wayne Parts,
MISC,892060-001,,,Ovation Sales Volume LED Backlight Kit,208.95,DFS Wayne Parts,
MISC,892065-001,,,Ovation Tube,17.85,DFS Wayne Parts,
MISC,892105-001,,,"Push To Start Panel, Right Angle, 943A, Coated",143.85,DFS Wayne Parts,
MISC,892112-025,,,Secure Access Decal,10.5,DFS Wayne Parts,
MISC,892115-001,,,"Retainer And Mounting Bracket, Glass, QVGA, PCB And Blower",38.85,DFS Wayne Parts,
MISC,892120-001,,,SPM-CAT-S/V Power Cable Assembly,27.3,DFS Wayne Parts,
MISC,892121-001,,,Wayne Ovation Display Power Cable,60.9,DFS Wayne Parts,
MISC,892131-001,,,QVGA Display With LED Back Light Service Kit,508.2,DFS Wayne Parts,
MISC,892133-001,,,3-Position PPU LED Backlight Assembly,122.85,DFS Wayne Parts,
MISC,892133-002,,,5-Position PPU LED Backlight Assembly,156.45,DFS Wayne Parts,
MISC,892134-001,,,Glass Qvga 2 Sided A/R,28.35,DFS Wayne Parts,
MISC,892139-001,,,USB A Male To USB B Male Cable,6.3,DFS Wayne Parts,
MISC,892139-003,,,2000mm USB A Male To B Male Cable,12.6,DFS Wayne Parts,
MISC,892139-005,,,2500 MM A-B USB Cable Assembly,25.2,DFS Wayne Parts,
MISC,892141-001,,,Cable Assembly Spm To Qvga Softkey,52.5,DFS Wayne Parts,
MISC,892226-R01,892226-R01C,,Programmed Ix Board Assembly With Sd Card And Sd Ram,758.1,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,892226-R01C,,,Programmed Ix Board Assembly With Sd Card And Sd Ram -Core,327.6,DFS Wayne Parts,
MISC,892250-001,,,Select Twin Single Remote Pulse Output Kit,720.3,DFS Wayne Parts,
MISC,892479-001-085,,,4V Ad Panel Decal STR DI,35.7,DFS Wayne Parts,
MISC,892479-001-115,,,4V Ad Panel Decal WG DEF,35.7,DFS Wayne Parts,
MISC,892479-001-184,,,4V Ad Panel Decal SPX DI,35.7,DFS Wayne Parts,
MISC,892508-001,,,HS4 Valve Control Input Cable Assembly,39.9,DFS Wayne Parts,
MISC,892509-001,,,HS4 Valve Control Ouput Cable Assembly,13.65,DFS Wayne Parts,
MISC,892516-001,,,"Solenoid Valve/Cond Subassy, UHC SEL/CEN, Parker, 892516-001",819,DFS Wayne Parts,
MISC,892516-002,,,Solenoid Valve Subassembly Parker Hh,1063.65,DFS Wayne Parts,
MISC,892529-001,,,HS4-Parker Satellite Valve/Conduit,19.95,DFS Wayne Parts,
MISC,892586-R01,892586-R01C,,Rebuilt Service Kit Dual Price Display With Led For Ovation,848.4,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,892586-R01C,,,Rebuilt Service Kit Dual Price Display With Led For Ovation -Core,261.45,DFS Wayne Parts,
MISC,892586-R02,892586-R02C,,Service Kit Dual U/P Display With Led Back Light 5 Pos Ovation,987,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,892586-R02C,,,Service Kit Dual U/P Display With Led Back Light 5 Pos Ovation - Core,297.15,DFS Wayne Parts,
MISC,892645-001-001,,,Left/Right SPM Faceplate Overlay : Generic Soft Keys,10.5,DFS Wayne Parts,
MISC,892645-001-002,,,"Left SPM Faceplate Overlay : Generic ""Yes / No / Help / Cancel""",10.5,DFS Wayne Parts,
MISC,892645-001-012,,,"Left SPM Faceplate : 19K Generic ""Pay Outside/Pay Inside/Yes/No""",10.5,DFS Wayne Parts,
MISC,892645-001-018,,,Left SPM Faceplate Overlay : Texaco,10.5,DFS Wayne Parts,
MISC,892645-001-031,,,Left SPM Faceplate Overlay : Safeway,10.5,DFS Wayne Parts,
MISC,892645-001-042,,,Left SPM Faceplate Overlay : Supervalu,10.5,DFS Wayne Parts,
MISC,892645-001-047,,,Left SPM Faceplate Overlay : Speedway,10.5,DFS Wayne Parts,
MISC,892645-001-048,,,Left SPM Faceplate Overlay : Rebel Oil,10.5,DFS Wayne Parts,
MISC,892645-002-025,,,Right SPM Faceplate Overlay : Texaco,10.5,DFS Wayne Parts,
MISC,892645-002-036,,,Right SPM Faceplate Overlay : Safeway,10.5,DFS Wayne Parts,
MISC,892645-002-051,,,Right SPM Faceplate Overlay : Speedway,10.5,DFS Wayne Parts,
MISC,892645-002-056,,,Right SPM Faceplate Overlay : AAFES,10.5,DFS Wayne Parts,
MISC,892704-001,,,Ovation Ethernet Switch Module,275.1,DFS Wayne Parts,
MISC,892732-001,,,Vista Plus Domestic Rev 16.00 Chipset Service Item,259.35,DFS Wayne Parts,
MISC,892753-001,,,Magnet,10.5,DFS Wayne Parts,
MISC,892754-001,,,Security Switch Cable Assembly,84,DFS Wayne Parts,
MISC,892760-001,,,Ovation Bezel Security Switches Kit,507.15,DFS Wayne Parts,
MISC,892886-001,,,Linux Current Loop Bootloader Grib Board Assembly,367.5,DFS Wayne Parts,
MISC,892887-001,,,"Assembly, Board, Grib, Rs485",270.9,DFS Wayne Parts,
MISC,893408-001-011,,,"Select Series iX Ad Panel Decal, Exxon Blue Image Spec, Supreme, White Text On Red Background",16.8,DFS Wayne Parts,
MISC,893898-002-002,,,SPM2 US Injected Keypad Assembly With Softkeys : Wells TD-351 First Data,982.8,DFS Wayne Parts,
MISC,893898-002-004,,,SPM2 US Injected Keypad Assembly With Softkeys : Shell,982.8,DFS Wayne Parts,
MISC,893898-002-010,,,SPM2 US Injected Keypad Assembly With Softkeys : RBS Worldpay,982.8,DFS Wayne Parts,
MISC,893898-002-021,,,SPM2 US Injected Keypad Assembly With Softkeys : BP,982.8,DFS Wayne Parts,
MISC,893898-002-074,,,SPM2 US Injected Keypad Assembly With Softkeys : BAMS TD-601 First Data,982.8,DFS Wayne Parts,
MISC,893898-002-700,,,SPM2 US Injected Keypad Assembly With Softkeys : Blank Generic,905.1,DFS Wayne Parts,
MISC,F80-921132-KIT,,,Press To Start Switch (Chevron Spec / Grey),122.85,DFS Wayne Parts,
MISC,J21-921132-KIT,,,Vista Grade Select/Octane Button Replacement Kit,144.9,DFS Wayne Parts,
MISC,W2882941-097,,,"4V Softkey Cover Decal, WG J21",1.05,DFS Wayne Parts,
MISC,W2888459-003-323,,,"Ovation PTS Push-To-Start Panel Overlay, Shell RVIE : Regular / Plus / VPower",69.3,DFS Wayne Parts,
MISC,W2888530-003-024,,,"Advertising Panel Overlay, Shell RVIE : Regular / Plus / Premium",11.55,DFS Wayne Parts,
MISC,W2888530-004-029,,,"Vista 3+1 Push-To-Start Panel Overlay, Shell RVIE : Diesel / Regular / Plus / VPower",11.55,DFS Wayne Parts,
MISC,W2889952-003-323,,,"Ovation PTS Push-To-Start Retrofit Panel Assembly, Shell RVIE : Regular / Plus / VPower",498.75,DFS Wayne Parts,
MISC,W2890569-002,,,Ovation E25 Valve Conduit,231,DFS Wayne Parts,
MISC,W2890570-002,,,Ovation E25 Straight Valve Conduit,208.95,DFS Wayne Parts,
MISC,W2892909-001-A17,,,"Side Panelhose Handling Cabinet, Dispenser Side A17",241.5,DFS Wayne Parts,
MISC,W2892912-001-A17,,,Upper Front Panel DEFHM A17,148.05,DFS Wayne Parts,
MISC,W2892949-001,,,DEFHM Window Nozzle Door,129.15,DFS Wayne Parts,
MISC,W2892957-001,,,Ovation2 DEF Nozzle Boot Thermostat Heater Assembly - Open 50/Close 32,78.75,DFS Wayne Parts,
MISC,W2892958-001,,,Ovation2 Stainless Steel 300RS Top DEF Filter Assembly Without Element,1187.55,DFS Wayne Parts,
MISC,W2892959-001,,,5 Micron DEF Filter Element,65.1,DFS Wayne Parts,
MISC,W2892991-001,,,"Right Lower Door Assembly, DEFHM",312.9,DFS Wayne Parts,
MISC,W2892997-001,,,Nozzle Def Without Mis-Filling Prevention,1102.5,DFS Wayne Parts,
MISC,W2892998-001,,,Stainless Steel DEF Swivel/Breakaway Combo,549.15,DFS Wayne Parts,
MISC,W2892999-001,,,17.4 Foot DEF Hose With 1 Inch BSPP Female Swivel Ends,723.45,DFS Wayne Parts,
MISC,W2893038-001,,,"Solenoid Valve, Proportional, With Conduit Assy.3",329.7,DFS Wayne Parts,
MISC,W2893222-003,,,Panel Push To Start 3 Switch,143.85,DFS Wayne Parts,
MISC,W2893222-004,,,3+1 Clear Push to Start Panel Assembly,152.25,DFS Wayne Parts,
MISC,W2893222-005,,,Ovation Lx Clear 5-Position Push To Start Panel,152.25,DFS Wayne Parts,
MISC,W2893222-006,,,Panel Push To Start 1+3 Switch Diesel Regular Mid Premium,149.1,DFS Wayne Parts,
MISC,W2893222-007,,,3+1 Switch Push to Start Panel,147,DFS Wayne Parts,
MISC,W2893409-001-001,,,RFID Decal,11.55,DFS Wayne Parts,
MISC,W2893591-001,,,Dual Head Card Reader Assembly With Decal,242.55,DFS Wayne Parts,
MISC,W2893613-001,,,"Gender Changer, DB9, F/F",13.65,DFS Wayne Parts,
MISC,W2893702-001,,,Valve Conduit Ovation With Pin,258.3,DFS Wayne Parts,
MISC,W2893702-002,,,Valve Conduit - Ovation,270.9,DFS Wayne Parts,
MISC,W2893702-003,,,Valve Conduit - 2 Or 3 Vista,231,DFS Wayne Parts,
MISC,W2893703-001,,,Solenoid Valve Proportional Single Ul Aluminum Body With Pin,190.05,DFS Wayne Parts,
MISC,W2893703-003,,,Nickel-Plated Brass Body Single UL Proportional Solenoid Valve With Pin,373.8,DFS Wayne Parts,
MISC,W2893811-003,,,"Ovation I Single-Sided EMV Secure Hybrid Card Reader Retrofit Kit, PCI 5, With Cables And Brackets",1360.8,DFS Wayne Parts,
MISC,W2893811-004,,,"EMV Secure Hybrid Card Reader Retrofit Kit for Ovation I, PCI5, Includes Cables, Brackets For Dual Sided Dispenser",2727.9,DFS Wayne Parts,
MISC,W2893842-0042,,,"Service Kit, Mex NOM, WM003714-001, iGem Display, 1 Unit",196.35,DFS Wayne Parts,
MISC,W2893875-001,,,Ovation Stainless Steel 1D To 2D Scanner Kit Retrofit,1730.4,DFS Wayne Parts,
MISC,W2893875-002,,,Ovation Dual-Sided 1D To 2D Scanner Retrofit Kit,3461.85,DFS Wayne Parts,
MISC,W2893891-001,,,Service Kit O-Ring Install 2PM Meter,19.95,DFS Wayne Parts,
MISC,W2893891-003,,,xFlo Meter O-Ring Install Service Kit,47.25,DFS Wayne Parts,
MISC,W2893895-002,,,PCI-5 Injected Hybrid Chip/Mag Secure Card Reader Service Kit - See Additional Specifications Below,1147.65,DFS Wayne Parts,
MISC,W2893912-001-F32,,,Charcoal Bezel iMedia IX Jade Board Retrofit Kit For Dispenser With Existing Ovation R2 Or Blue Board,4502.4,DFS Wayne Parts,
MISC,W2893912-002-F32,,,Charcoal iMedia IX Jade Board Retrofit Kit For Ovation iX Pay Kit (D3/D3/R),3843,DFS Wayne Parts,
MISC,W2893913-001,W2893913-001C,,Ovation Single IX Conversion Kit Provides Single IX Jade Board Driving Both Fuel Points,1702.05,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,W2893913-001C,,,WU001031-R00 Core *** (2) Boards For Full Core Credit *** (1) Board For Half Core Credit ***,176.4,DFS Wayne Parts,
MISC,W2893913-002,W2893913-002C,,Vista/Premier Single IX Conversion Kit - Provides Single IX Jade Board Driving Both Fueling Points,1727.25,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,W2893913-002C,,,WU001031-R00 Core *** (2) Boards For Full Core Credit *** (1) Board For Half Core Credit ***,352.8,DFS Wayne Parts,
MISC,W2893914-002,W2893914-002C,,iX Red/Blue Board To iX Jade Board Retrofit Kit For Ovation1 Dual-Sided VGA Dispenser With Existing Hybrid Chip Readers At Media Site - Includes (2) Jade Boards,2781.45,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
MISC,W2893914-002C,,,WU001031-R00 Core *** (2) Boards For Full Core Credit *** (1) Board For Half Core Credit ***,352.8,DFS Wayne Parts,
MISC,W2893914-003,W2893914-003C,,iX Red Board To iX Jade Board Retrofit Kit For Ovation2 Dual-Sided VGA Dispenser With Existing Hybrid Chip Readers At Media Site - Includes (2) Jade Boards,2754.15,DFS Wayne Parts,Order Board & Core.  Once core is returned a credit will be issued
